subjectId,chapter,level,playTime,deaths,badgesEarned,anglesUnlocked,playCount
3114,1,1,error,0,0,0,1
3114,1,3,error,0,0,0,1
3114,1,2,error,0,0,0,1
3114,1,5,error,0,0,2,1
3114,1,4,error,0,0,1,1
3114,1,7,error,0,0,3,1
3114,1,6,error,1,0,4,2
3114,1,9,error,1,0,6,2
3114,1,8,error,0,0,3,1
3114,3,1,error,0,0,2,2
3114,3,3,error,1,0,17,4
3114,3,2,error,1,0,15,4
3114,3,5,error,5,0,12,7
3114,3,4,error,3,0,12,5
3114,3,7,error,3,0,11,4
3114,3,6,error,1,0,12,3
3114,2,1,error,0,0,1,1
3114,2,3,error,0,0,4,1
3114,2,2,error,2,0,4,3
3114,2,5,error,1,0,12,2
3114,2,4,error,5,0,13,6
3114,2,7,error,1,0,7,2
3114,2,6,error,1,0,10,2
3113,1,1,error,0,0,0,1
3113,1,3,error,0,0,0,1
3113,1,2,error,0,0,0,1
3113,1,5,error,0,0,2,1
3113,1,4,error,0,0,1,1
3113,1,7,error,0,0,3,1
3113,1,6,error,0,0,2,1
3113,1,9,error,0,0,3,1
3113,1,8,error,0,1,3,1
3113,3,1,error,0,0,1,1
3113,3,3,error,1,0,14,3
3113,3,2,error,0,0,4,1
3113,3,5,error,1,0,6,2
3113,3,4,error,1,0,4,2
3113,3,7,error,1,0,11,2
3113,3,6,error,0,0,6,1
3113,3,8,error,3,0,22,4
3113,2,1,error,0,0,2,2
3113,2,3,error,0,0,6,2
3113,2,2,error,7,0,6,9
3113,2,5,error,1,0,14,3
3113,2,4,error,6,0,9,7
3113,2,7,error,1,0,8,2
3113,2,6,error,0,0,4,1
3112,1,1,error,0,0,0,1
3112,1,3,error,0,0,0,1
3112,1,2,error,0,0,0,1
3112,1,5,error,0,0,2,1
3112,1,4,error,0,0,1,1
3112,1,7,error,0,0,3,1
3112,1,6,error,1,0,2,2
3112,1,9,error,0,0,4,1
3112,1,8,error,1,0,5,2
3112,3,1,error,0,0,1,1
3112,3,3,error,6,0,17,8
3112,3,2,error,1,0,6,3
3112,3,5,error,0,0,4,1
3112,3,4,error,0,0,4,1
3112,3,6,error,0,0,4,1
3112,2,1,error,0,0,2,2
3112,2,3,error,1,0,6,3
3112,2,2,error,2,0,6,5
3112,2,5,error,9,0,31,12
3112,2,4,error,0,0,6,2
3112,2,7,error,0,0,3,1
3112,2,6,error,0,0,4,1
3005,1,1,error,0,0,0,1
3005,1,3,error,0,0,0,1
3005,1,2,error,0,0,0,1
3005,1,5,error,0,0,2,1
3005,1,4,error,0,0,1,1
3005,1,7,error,0,0,3,1
3005,1,6,error,0,0,3,1
3005,1,9,error,0,0,3,1
3005,1,8,error,1,0,5,2
3005,2,1,error,1,0,1,2
3005,2,3,error,0,0,2,1
3005,2,2,error,1,0,2,2
3005,2,5,error,7,0,23,9
3005,2,4,error,1,0,4,2
3005,2,6,error,0,0,0,1
3004,1,1,error,0,0,0,1
3004,1,3,error,0,0,0,1
3004,1,2,error,0,0,0,1
3004,1,5,error,0,0,2,1
3004,1,4,error,0,0,1,1
3004,1,7,error,0,0,4,1
3004,1,6,error,0,0,3,1
3004,1,9,error,0,0,4,1
3004,1,8,error,1,0,6,2
3004,3,1,error,0,0,1,1
3004,3,3,error,6,0,19,9
3004,3,2,error,1,0,3,2
3004,3,5,error,0,0,4,1
3004,3,4,error,0,0,2,1
3004,3,7,error,0,0,0,1
3004,3,6,error,4,0,18,5
3004,2,1,error,0,0,1,1
3004,2,3,error,1,0,5,2
3004,2,2,error,1,0,4,2
3004,2,5,error,4,0,19,5
3004,2,4,error,1,1,4,2
3004,2,7,error,0,0,5,1
3004,2,6,error,1,1,7,2
3007,1,1,error,0,0,0,1
3007,1,3,error,0,0,0,1
3007,1,2,error,0,0,0,1
3007,1,5,error,0,0,1,1
3007,1,4,error,0,0,1,1
3007,1,7,error,0,0,3,1
3007,1,6,error,0,0,3,1
3007,1,9,error,0,0,3,1
3007,1,8,error,2,1,14,4
3007,2,1,error,0,0,1,1
3007,2,3,error,0,0,3,1
3007,2,2,error,0,0,2,1
3007,2,5,error,5,0,5,6
3007,2,4,error,0,1,4,1
3001,1,1,error,0,0,0,1
3001,1,3,error,0,0,0,1
3001,1,2,error,0,0,0,1
3001,1,5,error,0,0,2,1
3001,1,4,error,0,0,1,1
